Entity,Code,Year,Renewables (% equivalent primary energy)
Sweden,SWE,2008,36.928470611572266
Sweden,SWE,2009,39.141990661621094
Sweden,SWE,2010,38.351444244384766
Sweden,SWE,2011,39.86112594604492
Sweden,SWE,2012,43.30573654174805
Sweden,SWE,2013,38.95484924316406
Sweden,SWE,2014,40.648502349853516
Sweden,SWE,2015,46.59962463378906
Sweden,SWE,2016,42.082698822021484
Sweden,SWE,2017,43.339447021484375
Sweden,SWE,2018,42.218502044677734
Sweden,SWE,2019,43.81376647949219
Sweden,SWE,2020,51.0589714050293
Sweden,SWE,2021,50.924007415771484
Switzerland,CHE,1965,39.050838470458984
Switzerland,CHE,1966,41.494388580322266
Switzerland,CHE,1967,42.1434326171875
Switzerland,CHE,1968,39.67350387573242
Switzerland,CHE,1969,36.70130157470703
Switzerland,CHE,1970,34.63469696044922
Switzerland,CHE,1971,33.697242736816406
Switzerland,CHE,1972,28.542724609375
Switzerland,CHE,1973,28.31479263305664
Switzerland,CHE,1974,31.02661895751953
Switzerland,CHE,1975,34.594242095947266
Switzerland,CHE,1976,29.048126220703125
Switzerland,CHE,1977,35.28424072265625
Switzerland,CHE,1978,32.51401138305664
Switzerland,CHE,1979,30.90443992614746
Switzerland,CHE,1980,32.37267303466797
Switzerland,CHE,1981,34.29216384887695
Switzerland,CHE,1982,35.78217697143555
Switzerland,CHE,1983,33.554874420166016
Switzerland,CHE,1984,29.559743881225586
Switzerland,CHE,1985,29.632400512695312
Switzerland,CHE,1986,29.05949592590332
Switzerland,CHE,1987,30.830392837524414
Switzerland,CHE,1988,31.572078704833984
Switzerland,CHE,1989,28.20342254638672
Switzerland,CHE,1990,26.992219924926758
Switzerland,CHE,1991,28.26373291015625
Switzerland,CHE,1992,28.394737243652344
Switzerland,CHE,1993,31.08303451538086
Switzerland,CHE,1994,32.31832504272461
Switzerland,CHE,1995,30.771350860595703
Switzerland,CHE,1996,26.179201126098633
Switzerland,CHE,1997,28.932559967041016
Switzerland,CHE,1998,28.326658248901367
Switzerland,CHE,1999,32.33128356933594
Switzerland,CHE,2000,30.638751983642578
Switzerland,CHE,2001,31.928983688354492
Switzerland,CHE,2002,29.157331466674805
Switzerland,CHE,2003,28.983333587646484
Switzerland,CHE,2004,28.436500549316406
Switzerland,CHE,2005,27.37746810913086
Switzerland,CHE,2006,26.049184799194336
Switzerland,CHE,2007,29.711977005004883
Switzerland,CHE,2008,29.249441146850586
Switzerland,CHE,2009,28.932710647583008
Switzerland,CHE,2010,29.882568359375
Switzerland,CHE,2011,28.44281768798828
Switzerland,CHE,2012,31.85407829284668
Switzerland,CHE,2013,30.987796783447266
Switzerland,CHE,2014,32.276390075683594
Switzerland,CHE,2015,33.162601470947266
Switzerland,CHE,2016,32.28740310668945
Switzerland,CHE,2017,32.014774322509766
Switzerland,CHE,2018,31.95086669921875
Switzerland,CHE,2019,33.13739776611328
Switzerland,CHE,2020,36.2105712890625
Switzerland,CHE,2021,36.716644287109375
Taiwan,TWN,1965,10.868430137634277
Taiwan,TWN,1966,10.439053535461426
Taiwan,TWN,1967,9.467522621154785
Taiwan,TWN,1968,12.089816093444824
Taiwan,TWN,1969,9.12302303314209
Taiwan,TWN,1970,7.86768102645874
Taiwan,TWN,1971,6.759337902069092
